,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,emotion,id
0,1.01,0.28,0.0,0.69,0.0,1.31,0.0,0.0,0.0,0.0,0.22,0.0,0.31,0.0,0.66,1.39,0.0,8,08-12-pn4910
0,0.0,0.82,0.43,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.73,2.01,2.98,1,01-23-pn9478
0,0.0,0.0,0.0,0.19,2.33,3.24,1.52,2.36,2.27,2.47,0.82,0.16,1.37,0.42,2.05,1.92,1.7,3,03-19-pn3028
0,0.0,0.18,0.0,0.0,0.0,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.59,0.26,0.0,1,01-02-pn6602
0,0.0,0.24,2.19,0.0,0.15,1.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.79,4,04-21-pn2358
0,1.43,0.0,0.09,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1.01,1,01-17-pn9369
0,0.0,0.42,0.0,0.65,0.0,0.0,0.58,0.31,0.0,0.0,0.69,0.24,0.0,0.0,0.04,0.98,0.0,6,06-13-pn3704
0,0.0,0.0,1.37,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.33,0.0,1.23,0.0,1.03,1.11,1.78,4,04-03-pn4842
0,0.85,0.44,0.0,0.0,0.19,2.4,0.0,0.1,1.25,0.0,0.0,0.0,0.93,0.0,2.04,1.56,0.83,2,02-12-pn7004
0,0.0,0.0,0.88,0.0,2.36,1.73,2.57,2.19,1.29,2.08,0.0,0.0,0.0,0.05,1.49,0.0,1.0,5,05-19-pn8676
0,0.16,0.0,1.71,0.0,1.45,3.46,1.79,2.62,0.08,0.3,1.04,0.63,0.0,0.03,1.69,1.79,0.33,7,07-08-pn1261
0,0.0,0.0,0.42,0.57,0.29,0.48,0.0,0.67,0.75,0.96,0.0,0.0,1.03,0.17,1.56,1.45,0.0,8,08-01-pn1173
0,1.26,2.33,0.0,0.86,0.44,0.0,0.82,0.88,2.37,1.24,0.0,0.0,0.73,0.0,2.98,0.47,3.38,2,02-08-pn3639
0,1.12,0.0,1.25,1.31,1.36,2.66,1.32,2.38,0.66,0.58,0.79,0.49,0.34,0.0,1.66,1.93,0.0,7,07-08-pn3240
0,1.27,0.0,1.49,0.0,0.76,2.04,2.59,2.64,0.39,0.27,0.96,0.0,0.0,0.0,3.2,2.84,0.66,4,04-19-pn8205
0,1.05,1.37,0.41,0.0,0.41,1.58,1.24,1.49,0.79,0.13,0.03,0.0,0.61,0.0,3.73,2.32,1.73,7,07-24-pn3815
0,0.0,0.0,0.88,0.0,1.43,2.18,2.44,2.7,0.34,0.18,1.79,1.08,0.68,0.0,2.26,1.51,1.6,7,07-23-pn9538
0,0.0,0.0,0.0,0.26,0.95,1.07,1.56,1.67,1.54,0.56,0.31,0.41,0.19,0.0,0.82,0.07,0.0,3,03-13-pn6370
0,0.76,0.0,0.13,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.14,0.71,1.85,0.0,6,06-05-pn915
0,0.0,0.14,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.18,0.0,0.0,0.0,0.0,0.0,1,01-11-pn9235
0,0.0,0.0,0.77,0.08,0.0,1.76,0.87,0.78,0.0,0.13,0.0,0.09,0.0,0.11,1.75,2.08,0.0,5,05-07-pn3276
0,1.04,0.38,2.06,0.0,2.3,4.42,2.43,1.96,1.2,1.19,0.85,0.08,0.21,0.0,0.87,0.64,0.95,7,07-16-pn3668
0,0.0,0.0,0.04,0.0,0.0,1.52,0.19,0.62,1.22,0.0,0.0,0.0,0.71,0.0,2.15,0.7,0.0,2,02-02-pn9502
0,1.79,1.61,0.21,1.47,0.0,0.99,0.0,0.19,0.06,0.0,0.36,0.35,0.0,0.0,1.73,1.72,0.0,8,08-21-pn9615
0,1.09,1.35,0.0,0.0,0.55,2.04,0.0,0.59,0.82,0.2,0.0,0.06,0.0,0.15,1.53,0.78,0.54,3,03-21-pn3887
0,1.6,1.59,0.0,2.45,0.0,0.0,0.0,0.0,0.92,0.27,0.0,0.0,0.12,0.0,2.18,1.1,0.0,6,06-24-pn8558
0,0.74,2.37,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.6,0.0,0.34,0.32,0.0,8,08-10-pn120
0,0.0,0.0,0.95,0.69,0.0,0.17,0.41,0.33,0.23,0.29,0.0,0.0,1.1,0.0,1.3,1.66,0.0,8,08-22-pn1301
0,1.0,0.48,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,2.32,0.0,5,05-05-pn4834
0,0.0,0.07,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.59,0.19,0.0,0.53,0.0,1.64,2.05,0.24,6,06-15-pn1304
0,0.28,0.0,1.01,0.39,0.0,0.16,0.0,0.39,0.05,0.0,0.79,0.0,0.49,0.0,4.21,2.39,0.1,1,01-06-pn8379
0,0.04,1.01,0.0,0.8,0.0,0.0,0.22,0.82,0.2,0.11,0.49,0.04,0.28,0.0,1.74,2.23,0.0,6,06-13-pn4874
0,0.0,1.09,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.49,1.05,0.0,8,08-11-pn6662
0,0.0,0.36,0.0,0.0,0.03,0.45,0.54,0.55,1.11,2.06,1.25,0.4,0.8,0.35,1.73,0.98,0.31,8,08-15-pn7483
0,0.4,0.0,1.49,0.0,0.87,1.5,2.12,1.79,0.79,0.27,1.01,1.16,0.5,0.0,0.84,1.27,1.35,4,04-19-pn8209
0,1.83,2.77,0.0,2.42,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.5,0.0,1.04,0.36,0.0,6,06-24-pn5162
0,0.0,0.0,1.68,0.0,0.07,1.28,0.37,0.46,0.0,0.38,0.29,0.23,0.51,0.0,1.04,1.73,0.49,4,04-01-pn6693
0,0.0,0.04,0.0,0.05,0.0,0.34,0.96,0.0,0.32,0.0,0.0,0.0,0.0,0.28,0.89,0.72,0.28,8,08-20-pn6480
0,0.92,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.52,0.95,1,01-17-pn4211
0,1.75,0.76,1.2,0.81,0.37,1.39,1.27,1.29,0.58,0.26,1.04,0.01,0.08,0.0,1.49,0.87,0.47,7,07-08-pn8300
0,2.23,1.84,1.83,0.76,0.14,1.3,0.0,1.56,2.73,1.16,0.09,0.0,1.51,0.0,2.71,0.62,0.4,6,06-17-pn6451
0,0.0,0.0,2.08,0.72,0.0,0.0,0.0,0.78,0.0,0.0,0.93,0.37,1.1,0.0,3.69,2.79,0.21,6,06-06-pn6179
0,1.49,3.44,0.0,0.01,0.0,0.02,0.0,0.0,0.31,0.0,1.72,1.26,0.19,0.0,0.0,1.03,2.61,8,08-23-pn5395
0,0.2,0.0,1.32,0.0,0.26,0.62,0.43,1.4,0.44,0.7,0.38,0.27,0.74,0.0,1.99,2.01,2.92,4,04-01-pn3021
0,0.0,0.0,1.82,0.34,0.22,1.88,0.83,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.13,0.78,0.4,8,08-09-pn9360
0,1.37,2.66,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,1.25,1.52,0.15,1,01-21-pn3439
0,0.79,0.09,0.0,0.0,1.02,3.27,0.3,0.0,1.59,0.84,0.0,0.35,0.57,0.19,0.35,0.63,0.57,3,03-12-pn4054
0,0.87,0.12,0.0,0.0,0.0,1.25,0.0,0.0,0.44,0.28,0.0,0.0,0.31,0.0,0.68,1.08,0.18,2,02-12-pn9023
0,0.0,0.03,1.32,0.0,0.28,1.72,2.5,1.72,0.0,0.0,1.73,0.76,0.22,0.0,1.99,1.61,1.52,7,07-23-pn4756
0,0.28,0.0,0.9,0.0,1.06,2.5,0.57,1.52,1.81,1.44,0.0,0.0,0.47,0.01,2.61,0.4,1.63,6,06-14-pn7038
0,0.0,0.0,1.68,0.0,0.4,1.45,1.21,1.07,0.0,0.12,0.0,0.0,0.65,0.0,3.87,2.76,0.68,5,05-01-pn4617
0,0.0,0.0,0.0,0.61,1.78,2.01,1.28,1.49,1.7,1.16,0.49,0.43,0.06,0.24,1.78,0.0,0.0,2,02-19-pn6347
0,0.7,1.14,0.0,1.12,0.0,0.0,0.01,0.0,0.21,0.0,0.0,0.0,0.0,0.0,1.38,0.89,0.0,8,08-02-pn3881
0,0.0,0.0,2.05,0.0,0.89,2.5,1.37,2.18,0.67,0.76,0.37,0.13,0.69,0.0,1.96,1.42,0.8,7,07-01-pn7069
0,0.0,0.0,2.15,0.0,2.25,2.81,3.96,3.1,0.82,1.98,1.96,0.72,0.81,0.0,2.48,0.74,0.95,7,07-19-pn1885
0,0.66,2.14,0.0,1.23,0.0,0.0,0.09,0.0,0.0,0.0,0.51,0.0,0.0,0.08,0.4,0.64,0.0,1,01-20-pn4787
0,0.41,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.19,0.65,0.93,5,05-17-pn3126
0,1.3,0.0,2.05,0.0,0.74,0.91,1.42,0.0,0.07,0.46,1.12,0.0,0.0,0.0,0.0,0.14,1.94,7,07-20-pn7377
0,0.0,0.02,0.0,0.09,0.71,1.73,1.65,1.95,1.52,0.35,0.47,0.16,0.0,0.0,1.62,0.39,0.08,3,03-13-pn4844
0,0.0,0.0,0.13,0.0,0.0,0.21,0.94,1.0,0.26,0.52,0.17,0.0,0.0,0.0,1.88,1.49,0.51,8,08-03-pn6200
0,0.0,0.84,0.0,0.53,0.0,0.09,0.22,0.0,0.0,0.18,0.68,0.04,0.63,0.63,0.0,0.0,0.08,1,01-20-pn6088
0,0.72,0.2,0.0,0.21,0.0,1.22,0.0,0.85,0.72,0.0,0.08,0.0,0.38,0.0,2.49,2.6,0.0,1,01-12-pn4667
0,1.58,1.32,0.0,0.3,0.8,1.67,0.0,1.87,1.34,1.05,0.3,0.1,0.0,0.0,3.03,1.17,0.0,6,06-21-pn5985
0,0.0,0.0,0.0,0.0,2.24,1.93,1.0,1.47,1.82,1.86,0.73,1.54,0.32,0.55,0.0,0.0,0.31,2,02-19-pn532
0,0.0,0.0,0.23,0.0,0.0,0.73,1.46,0.3,0.0,0.1,0.0,0.0,0.5,0.0,0.18,0.23,0.89,2,02-03-pn1368
0,1.14,2.21,0.0,1.07,0.0,0.0,0.0,0.02,0.15,0.4,0.44,0.0,0.0,0.27,0.0,0.0,0.72,1,01-08-pn6191
0,0.54,0.0,1.1,0.0,1.9,3.72,1.32,2.5,0.53,0.5,1.22,0.77,0.18,0.0,1.16,1.02,1.44,7,07-16-pn3761
0,0.49,0.0,0.63,0.0,0.0,0.46,0.28,1.41,0.32,0.0,0.3,0.0,0.0,0.0,3.34,2.1,0.82,5,05-17-pn2741
0,0.25,0.0,0.25,0.0,0.0,0.22,0.23,0.0,0.0,0.0,0.25,0.21,0.0,0.0,0.0,0.14,0.58,4,04-22-pn6340
0,2.18,1.23,0.64,0.37,1.26,1.73,0.79,0.0,0.11,0.0,0.36,1.08,0.0,0.0,0.0,0.0,1.72,2,02-09-pn8182
0,0.0,0.0,2.68,0.7,1.66,3.35,2.6,2.32,0.4,1.36,1.29,0.29,2.03,0.0,3.7,1.84,0.49,5,05-01-pn6688
0,0.99,1.75,0.0,1.93,0.0,0.0,0.0,0.68,0.64,0.0,0.47,0.0,0.66,0.0,2.69,1.29,0.0,8,08-24-pn977
0,1.91,2.77,0.0,0.27,0.01,1.96,0.37,0.0,0.68,0.34,0.2,0.0,0.68,0.41,2.44,1.11,0.25,2,02-04-pn9333
0,1.65,0.29,1.75,0.09,0.0,2.32,0.13,1.37,0.86,0.63,0.24,0.09,0.67,0.0,2.91,2.75,3.53,4,04-12-pn3918
0,1.17,0.99,0.0,1.48,0.0,0.39,0.66,0.0,0.0,0.66,0.37,0.89,1.3,0.51,1.39,1.34,0.0,7,07-04-pn8539
0,0.24,0.67,0.0,2.02,0.0,0.21,0.0,0.0,0.0,0.0,0.12,0.0,0.15,0.0,2.36,1.41,0.0,5,05-10-pn634
0,1.55,1.84,0.0,0.66,0.05,0.6,0.2,1.85,0.37,0.37,1.33,0.05,0.0,0.0,2.73,1.3,0.0,8,08-07-pn1664
0,0.0,0.0,0.0,0.0,0.05,2.38,0.64,0.0,0.31,0.0,0.39,0.23,0.62,0.46,0.0,0.55,0.0,2,02-20-pn1626
0,0.0,0.0,0.0,0.54,0.0,0.81,0.92,0.05,0.0,0.0,0.73,0.0,0.0,0.0,2.52,1.79,0.0,5,05-19-pn6974
0,1.08,0.74,0.35,0.0,0.64,1.52,0.0,0.69,1.82,0.51,0.02,0.0,0.0,0.23,1.08,0.88,1.01,3,03-17-pn340
0,0.0,0.0,0.69,0.0,0.39,1.79,0.31,0.0,0.02,1.35,0.0,0.0,0.65,0.0,0.0,0.15,0.56,1,01-01-pn4679
0,0.1,0.0,0.76,0.33,0.0,1.62,0.0,0.09,0.0,0.0,0.07,0.0,0.62,0.0,0.9,2.12,0.0,5,05-12-pn6148
0,0.39,0.74,0.42,1.86,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,1.75,0.0,5,05-24-pn7231
0,0.0,0.31,0.0,0.59,0.07,0.92,1.7,2.36,0.6,0.32,1.41,0.23,0.0,0.0,1.04,0.6,0.34,7,07-13-pn4020
0,0.32,0.0,0.42,0.23,0.0,0.0,0.0,0.0,0.0,1.22,0.1,0.93,0.0,1.02,0.0,0.41,0.0,5,05-14-pn2969
0,0.0,0.38,2.51,0.07,1.14,2.0,2.79,2.21,0.0,0.45,0.24,0.0,1.21,0.0,4.12,2.09,1.99,5,05-01-pn3577
0,0.16,1.06,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.03,0.0,0.0,0.0,1.35,0.0,6,06-11-pn291
0,1.51,0.31,1.88,0.0,1.36,2.99,2.48,2.53,1.48,1.13,0.85,0.0,0.0,0.0,3.22,1.06,1.2,6,06-18-pn2542
0,1.97,3.93,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.15,0.01,0.0,0.0,0.0,6,06-20-pn7287
0,1.49,0.0,1.94,0.0,0.68,2.43,1.3,1.69,0.03,0.5,1.67,0.4,0.0,0.15,1.91,0.27,0.91,7,07-07-pn3104
0,1.13,0.32,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.31,0.12,1.02,1.84,0.69,4,04-05-pn5912
0,0.0,0.0,1.11,0.0,0.94,0.0,0.47,2.65,0.26,0.21,1.19,0.15,0.29,0.0,2.9,0.47,0.0,7,07-06-pn822
0,2.8,3.0,0.0,1.5,0.0,1.08,0.0,0.65,0.36,0.85,0.94,0.39,2.04,0.0,3.23,1.12,0.0,4,04-04-pn7757
0,1.47,0.92,2.33,0.0,0.58,0.26,0.42,1.03,1.01,2.01,1.63,1.68,1.24,0.0,1.52,1.21,4.44,7,07-18-pn110
0,0.41,0.0,1.67,0.0,1.03,3.89,2.38,2.34,0.33,0.22,0.86,0.02,0.0,0.0,2.47,2.46,0.0,7,07-12-pn4401
0,0.0,0.0,0.75,0.0,0.34,1.55,0.2,0.31,0.02,0.48,0.0,0.0,0.52,0.0,1.75,1.61,0.83,1,01-01-pn4680
0,0.0,0.17,0.0,0.75,0.0,0.41,0.19,0.0,0.0,0.0,0.18,0.12,0.76,0.0,0.07,0.73,0.0,5,05-20-pn1997
0,0.0,0.0,0.77,0.0,0.75,2.19,0.2,0.63,1.13,1.86,0.0,0.43,1.45,0.62,0.0,0.0,0.82,2,02-01-pn2681
0,0.58,0.01,1.03,0.0,0.0,0.22,0.0,0.02,0.12,0.0,0.0,0.0,0.0,0.0,1.61,1.13,0.63,8,08-17-pn2077
0,0.14,0.0,3.36,0.0,0.69,0.57,0.33,0.82,0.23,0.69,1.15,0.0,2.92,0.0,5.0,3.17,2.5,6,06-06-pn1770
0,0.17,0.0,0.88,0.0,0.0,0.97,0.78,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.24,0.2,1.27,7,07-20-pn4071
0,0.0,0.0,0.0,0.0,1.75,3.61,1.04,1.1,2.2,1.46,0.0,0.13,0.79,0.0,0.66,0.46,2.61,8,08-16-pn4435
0,0.0,0.0,0.0,0.51,0.0,1.2,0.89,0.0,0.0,0.0,0.12,0.0,0.0,0.02,0.0,0.31,0.65,3,03-22-pn7016
0,0.0,0.0,0.0,0.23,0.0,0.85,0.81,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.51,0.13,3,03-22-pn3402
0,0.0,0.18,0.0,0.37,1.07,1.81,2.51,1.9,0.33,0.08,1.46,0.14,0.0,0.0,1.26,1.07,0.0,7,07-11-pn9347
0,1.95,1.35,0.0,1.78,0.15,1.13,0.0,0.0,1.33,0.43,0.95,0.0,1.32,0.0,0.08,0.0,0.0,6,06-20-pn7626
0,0.73,0.0,3.87,0.67,1.6,4.44,2.1,2.53,0.92,1.38,0.67,0.13,0.87,0.3,1.38,1.17,1.26,7,07-01-pn5218
0,0.6,0.0,0.0,0.0,0.54,1.62,1.09,2.92,1.18,0.0,0.82,0.0,0.01,0.0,3.56,2.75,0.18,7,07-12-pn9263
0,0.94,1.63,0.0,1.76,0.0,0.27,0.0,0.0,0.23,0.0,0.64,0.95,0.01,0.0,1.17,1.15,0.32,5,05-08-pn4812
0,0.0,0.43,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.39,0.63,0.06,0.15,0.0,1.47,2.27,0.0,5,05-15-pn54
0,0.84,0.22,0.59,0.56,0.78,2.2,1.56,1.65,0.33,0.85,0.83,0.43,0.76,0.0,2.58,0.3,0.0,7,07-04-pn8536
0,0.63,0.0,0.1,1.48,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.0,0.0,0.0,1.29,2.46,0.0,6,06-05-pn9169
0,0.21,0.0,1.28,0.67,1.14,2.78,1.86,1.65,0.0,1.32,1.11,0.71,1.08,0.0,2.24,1.18,0.12,7,07-04-pn1905
0,0.26,0.0,0.47,0.0,0.0,1.15,0.0,0.52,0.26,0.44,0.32,0.0,0.13,0.17,1.55,1.31,0.13,8,08-14-pn5823
0,1.23,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.55,0.16,0.0,0.9,0.0,1.38,1.0,1.64,2,02-18-pn4342
0,2.21,2.81,1.03,0.37,0.0,0.25,0.0,0.66,2.17,0.77,0.0,0.0,1.64,0.0,2.45,1.13,0.82,6,06-17-pn4536
0,1.03,0.21,1.14,0.0,0.22,1.26,0.0,0.77,0.31,0.47,0.24,0.24,0.0,0.0,2.07,1.87,0.0,8,08-21-pn6019
0,0.0,0.44,0.0,0.49,0.0,0.01,1.35,0.97,0.0,0.01,1.69,0.0,0.0,0.0,0.6,0.45,0.0,6,06-11-pn813
0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.27,0.0,0.39,0.0,1.48,2.02,0.2,6,06-15-pn5644
0,2.7,1.96,1.38,0.75,0.93,1.96,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,2.1,2,02-09-pn8181
0,0.0,0.0,0.0,0.0,0.36,0.85,0.67,0.0,0.63,2.24,0.0,1.1,0.33,0.64,0.0,0.23,0.86,2,02-07-pn4416
0,0.0,0.0,0.0,0.0,1.26,1.04,0.14,0.65,1.34,1.04,0.12,0.48,0.6,0.0,0.0,0.21,0.0,8,08-16-pn9740
0,0.2,0.46,0.22,0.0,0.0,1.81,0.0,0.0,0.04,0.18,0.0,0.0,0.0,0.0,0.0,0.36,0.13,5,05-21-pn9310
0,2.08,1.82,0.93,0.0,0.0,1.12,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.9,0.51,1.16,2,02-17-pn74
0,0.4,0.05,0.12,0.0,0.37,2.07,0.0,0.14,1.05,0.28,0.0,0.0,0.0,0.6,1.59,1.05,0.55,2,02-14-pn2367
0,1.41,0.79,4.15,0.0,0.97,2.14,3.03,2.95,0.0,0.67,1.26,0.04,0.32,0.0,3.2,1.8,1.43,7,07-17-pn3528
0,0.0,0.0,0.69,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.27,0.69,0.0,0.8,0.85,0.0,5,05-06-pn7728
